model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,100,502,Worthy,138.62943604840098,-138.62943604840098,285.25887209680195,295.6795528407543,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,2,32,1e-06,,2.0,1e-06,0.0005516636824082839,3.9999998728235937,9.210340244799738,False,False
q_learning,100,502,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,503,Worthy,138.62943611198918,-138.62943611198918,285.25887222397836,295.6795529679307,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,1,32,1e-06,,1e-06,1e-06,0.0,4.0,9.210340371976145,False,False
q_learning,100,503,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,504,Worthy,77.12620796858621,-77.12620796858621,162.25241593717243,172.6730966811248,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175,28,32,0.999999,,0.2700828371247088,0.07384330165744978,1.29862433123493,0.0,0.0,True,True
q_learning,100,504,Worthy,115.73952949129614,-115.73952949129614,235.47905898259228,240.68939935456845,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,6,1,1.0,0.44186706508977996,,,,73.22664304541985,68.01630267344365,False,False
pvl_delta,150,1,Steingroever2011,207.94415416742618,-207.94415416742618,423.88830833485235,435.9308495112374,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115,2,32,1e-06,,1e-06,1e-06,3.979039320256561e-05,3.9999999988845616,10.021270587077083,False,False
q_learning,150,1,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,150,2,Steingroever2011,207.9441540873849,-207.9441540873849,423.8883081747698,435.93084935115485,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,2,32,1e-06,,1e-06,1e-06,0.00024031432221847693,3.9999998388020117,10.021270426994533,False,False
q_learning,150,2,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,150,3,Steingroever2011,87.43595016414791,-87.43595016414791,182.87190032829582,194.91444150468084,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,105,16,32,0.2473625589283823,,0.7058925621136105,0.3731926875448683,2.2261916400465815,0.0,0.0,True,True
q_learning,150,3,Steingroever2011,159.61576856876877,-159.61576856876877,323.23153713753754,329.25280772573007,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,5,1,0.6780452425452014,0.8929220292527952,,,,140.35963680924172,134.33836622104923,False,False
pvl_delta,150,4,Steingroever2011,93.60090147519529,-93.60090147519529,195.20180295039057,207.2443441267756,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,310,33,32,0.0301974386961621,,1.1640485527491384,0.44965915758096053,2.776559466899404,0.0,0.0,True,True
q_learning,150,4,Steingroever2011,104.00169932696627,-104.00169932696627,212.00339865393255,218.02466924212507,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,57,16,1,0.01607826722207544,20.0,,,,16.801595703541977,10.780325115349484,False,False
pvl_delta,150,5,Steingroever2011,51.858580863249685,-51.858580863249685,111.71716172649937,123.75970290288438,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,490,72,32,0.0175719714934588,,1.213254436844499,0.1679505788798696,3.0010604905864025,0.0,0.0,True,True
q_learning,150,5,Steingroever2011,59.165604045798204,-59.165604045798204,122.33120809159641,128.35247867978893,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,60,17,1,0.018568887171601742,20.0,,,,10.614046365097039,4.592775776904546,False,False
pvl_delta,150,6,Steingroever2011,207.94415416695708,-207.94415416695708,423.88830833391415,435.9308495102992,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,2,32,1e-06,,1e-06,1e-06,7.754796809439133e-06,3.999999997946361,10.021270586138883,False,False
q_learning,150,6,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,150,7,Steingroever2011,167.25419848014445,-167.25419848014445,342.5083969602889,354.55093813667395,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,840,88,32,0.06513647131223625,,1.0730399205757437,0.28578109588425454,2.0095829723474217,0.0,0.0,True,True
q_learning,150,7,Steingroever2011,196.5807639684598,-196.5807639684598,397.1615279369196,403.1827985251121,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,8,1,0.2368793604013935,0.5507441907870108,,,,54.65313097663068,48.631860388438156,False,False
pvl_delta,150,8,Steingroever2011,4.158883083359679,-4.158883083359679,16.31776616671936,28.36030734310438,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,2,32,0.17910740167592584,,0.005206792270412819,9.763884875320523,4.786020360796679,0.0,0.0,True,True
q_learning,150,8,Steingroever2011,10.505595469484035,-10.505595469484035,25.01119093896807,31.03246152716058,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21,4,1,0.13409510747939843,20.0,,,,8.693424772248711,2.6721541840562004,False,False
pvl_delta,150,9,Steingroever2011,201.92114877820774,-201.92114877820774,411.8422975564155,423.8848387328005,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,375,47,32,0.00023095877598576378,,0.57075143731776,1.670336089458313,4.976925792720498,0.0,0.0,True,True
q_learning,150,9,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,8.046010779552319,2.024740191359797,False,False
pvl_delta,150,10,Steingroever2011,29.890763167646185,-29.890763167646185,67.78152633529237,79.82406751167738,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,95,15,32,0.13565797468679755,,2.0,0.6723526728543958,2.6001740389124213,0.0,0.0,True,True
