n_trials,subject_id,source_study,q_negative_log_likelihood,pvl_negative_log_likelihood,nll_q_minus_pvl,q_aic,pvl_aic,aic_q_minus_pvl,q_bic,pvl_bic,bic_q_minus_pvl,q_nll_improvement_over_uniform,pvl_nll_improvement_over_uniform,uniform_improvement_pvl_minus_q,q_best_aic,pvl_best_aic,q_best_bic,pvl_best_bic
100,56,Horstmann,131.64454614982102,128.255714083006,3.388832066815013,267.28909229964205,264.511428166012,2.777664133630026,272.49943267161825,274.9321089099644,-2.4326762383461755,6.98488996216804,10.373722028983051,3.388832066815011,False,True,True,False
100,57,Horstmann,136.93681570748214,127.82241667824444,9.114399029237703,277.8736314149643,263.6448333564889,14.228798058475377,283.0839717869405,274.06551410044125,9.018457686499232,1.6926204045069255,10.807019433744614,9.114399029237688,False,True,False,True
100,58,Horstmann,133.3451558947752,104.13952989492296,29.20562599985223,270.6903117895504,216.279059789846,54.411251999704376,275.9006521615266,226.69974053379832,49.20091162772826,5.284280217213876,34.48990621706609,29.205625999852217,False,True,False,True
100,59,Horstmann,134.74130112329632,115.01904771766692,19.722253405629402,273.48260224659265,238.03809543533384,35.444506811258805,278.69294261856885,248.4587761792862,30.23416643928266,3.888134988692741,23.61038839432216,19.72225340562942,False,True,False,True
100,60,Horstmann,137.56799377573148,112.3153013405092,25.252692435222286,279.13598755146296,232.6306026810184,46.50538487044457,284.3463279234392,243.0512834249708,41.29504449846843,1.0614423362575849,26.31413477147987,25.252692435222286,False,True,False,True
100,61,Horstmann,122.35272108270723,108.81227439894492,13.540446683762312,248.7054421654145,225.62454879788984,23.080893367524652,253.91578253739067,236.0452295418422,17.87055299554848,16.276715029281817,29.81716171304416,13.540446683762344,False,True,False,True
100,62,Horstmann,83.16649725699419,72.18901198064239,10.9774852763518,170.33299451398838,152.37802396128478,17.9549705527036,175.54333488596455,162.79870470523716,12.744630180727398,55.46293885499488,66.44042413134667,10.977485276351793,False,True,False,True
100,63,Horstmann,136.94572628010948,135.21318083886504,1.73254544124444,277.89145256021897,278.4263616777301,-0.5349091175111198,283.1017929321952,288.84704242168243,-5.7452494894872075,1.6837098318795825,3.4162552731240226,1.73254544124444,True,False,True,False
100,64,Horstmann,118.67391473176356,111.96773141106026,6.706183320703303,241.3478294635271,231.9354628221205,9.412366641406578,246.5581698355033,242.3561435660729,4.202026269430405,19.95552138022552,26.66170470092881,6.706183320703289,False,True,False,True
100,65,Horstmann,136.82133944019617,125.38030097656888,11.441038463627294,277.64267888039234,258.7606019531378,18.88207692725456,282.85301925236854,269.1812826970901,13.671736555278414,1.808096671792896,13.249135135420175,11.44103846362728,False,True,False,True
