model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature
q_learning,100,208,Maia,127.38055144836987,-127.38055144836987,258.76110289673977,263.9714432687159,138.62943611198907,11.248884663619194,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,4,5,0.0013186143853094873,100.0
q_learning,100,210,Maia,47.93329358149147,-47.93329358149147,99.86658716298294,105.07692753495913,138.62943611198907,90.6961425304976,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,7,5,0.006005820912741295,100.0
q_learning,100,213,Maia,137.9100462604547,-137.9100462604547,279.8200925209094,285.0304328928856,138.62943611198907,0.7193898515343733,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,462,93,5,0.0002858586172375542,74.31551109033974
q_learning,100,214,Maia,59.26670548804243,-59.26670548804243,122.53341097608487,127.74375134806105,138.62943611198907,79.36273062394663,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,26,5,0.006015655876815408,100.0
q_learning,100,215,Maia,58.628381382940404,-58.628381382940404,121.25676276588081,126.467103137857,138.62943611198907,80.00105472904866,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,6,5,0.006081356164852159,100.0
q_learning,100,217,Maia,137.00758917424108,-137.00758917424108,278.01517834848215,283.22551872045835,138.62943611198907,1.6218469377479892,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,342,78,5,0.00035177079411430437,100.0
q_learning,100,219,Maia,117.80424538625182,-117.80424538625182,239.60849077250364,244.81883114447982,138.62943611198907,20.825190725737244,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,6,5,0.0016405042937019975,99.99999999804959
q_learning,100,221,Maia,132.53180149093006,-132.53180149093006,269.06360298186013,274.27394335383633,138.62943611198907,6.097634621059001,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195,43,5,0.0007966598653353342,100.0
q_learning,100,294,Premkumar,130.23033557074032,-130.23033557074032,264.46067114148065,269.67101151345685,138.62943611198907,8.399100541248743,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165,39,4,0.0007649725466895088,99.91681791096107
q_learning,100,295,Premkumar,110.59443851297982,-110.59443851297982,225.18887702595964,230.39921739793581,138.62943611198907,28.034997599009245,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,21,5,0.011632342794656943,26.647288494735303
q_learning,100,300,Premkumar,122.66623560541487,-122.66623560541487,249.33247121082974,254.5428115828059,138.62943611198907,15.963200506574196,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,2,5,0.0011318301490786326,100.0
q_learning,100,307,Premkumar,109.98879758294544,-109.98879758294544,223.97759516589088,229.18793553786705,138.62943611198907,28.640638529043628,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,5,5,0.001755198816856247,100.0
q_learning,100,308,Premkumar,128.07008819992404,-128.07008819992404,260.1401763998481,265.3505167718243,138.62943611198907,10.559347912065022,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,351,77,5,0.000987410172441927,100.0
q_learning,100,311,Premkumar,134.180122723505,-134.180122723505,272.36024544701,277.5705858189862,138.62943611198907,4.449313388484057,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,31,4,0.0006973315559014373,100.0
q_learning,100,312,Premkumar,128.05972158464718,-128.05972158464718,260.11944316929436,265.32978354127056,138.62943611198907,10.569714527341887,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,207,47,5,0.0009753268214752419,100.0
q_learning,150,4,Steingroever2011,103.40882367543325,-103.40882367543325,210.8176473508665,216.83891793905903,207.94415416798358,104.53533049255033,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,24,4,0.009915517948866167,29.87286796179231
q_learning,150,5,Steingroever2011,57.063171530441934,-57.063171530441934,118.12634306088387,124.14761364907638,207.94415416798358,150.88098263754165,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,126,29,3,0.002885403681970665,100.0
q_learning,150,8,Steingroever2011,4.159756594529193,-4.159756594529193,12.319513189058386,18.3407837772509,207.94415416798358,203.78439757345438,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,3,1,0.17508364838445517,100.0
q_learning,150,11,Steingroever2011,96.85952174265549,-96.85952174265549,197.71904348531098,203.7403140735035,207.94415416798358,111.0846324253281,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,33,4,0.002408550597743855,100.0
q_learning,150,13,Steingroever2011,130.75758216917745,-130.75758216917745,265.5151643383549,271.53643492654743,207.94415416798358,77.18657199880613,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,117,31,5,0.002026583473206374,100.0
q_learning,150,16,Steingroever2011,123.85513331957377,-123.85513331957377,251.71026663914753,257.73153722734,207.94415416798358,84.08902084840982,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,7,4,0.0019332300424358265,100.0
q_learning,150,19,Steingroever2011,202.1312894455268,-202.1312894455268,408.2625788910536,414.2838494792461,207.94415416798358,5.812864722456794,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,171,38,5,0.0004248787354432684,100.0
q_learning,150,20,Steingroever2011,191.56762231220452,-191.56762231220452,387.13524462440904,393.15651521260156,207.94415416798358,16.376531855779064,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,261,58,5,0.0007681934439981366,100.0
q_learning,150,24,Steingroever2011,196.9180209671013,-196.9180209671013,397.8360419342026,403.85731252239515,207.94415416798358,11.02613320088227,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,246,55,5,0.0005491251061198579,100.0
q_learning,150,27,Steingroever2011,87.26652631450851,-87.26652631450851,178.53305262901702,184.55432321720954,207.94415416798358,120.67762785347507,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,25,5,0.0020975041693825328,100.0
q_learning,150,30,Steingroever2011,192.17493801134353,-192.17493801134353,388.34987602268706,394.3711466108796,207.94415416798358,15.769216156640056,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144,30,4,0.0008310362336123623,100.0
q_learning,150,34,Steingroever2011,34.9891124604418,-34.9891124604418,73.9782249208836,79.99949550907611,207.94415416798358,172.9550417075418,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,24,5,0.027863351957058326,23.315198728296686
q_learning,150,37,Steingroever2011,194.49285351193714,-194.49285351193714,392.9857070238743,399.0069776120668,207.94415416798358,13.451300656046442,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,33,4,0.0010894070962370345,100.0
q_learning,150,38,Steingroever2011,20.16139932389457,-20.16139932389457,44.32279864778914,50.34406923598165,207.94415416798358,187.78275484408903,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,4,5,0.011763261859495477,100.0
q_learning,150,39,Steingroever2011,199.14861401748658,-199.14861401748658,402.29722803497316,408.3184986231657,207.94415416798358,8.795540150497004,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,246,59,5,0.0006578692729146199,100.0
q_learning,150,42,Steingroever2011,177.50403816787184,-177.50403816787184,359.0080763357437,365.0293469239362,207.94415416798358,30.440116000111743,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,28,4,0.0010570440354364023,100.0
q_learning,150,52,Steingroever2011,142.73775210195794,-142.73775210195794,289.4755042039159,295.4967747921084,207.94415416798358,65.20640206602565,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,6,4,0.001851731966730624,100.0
q_learning,150,53,Steingroever2011,204.69605089475814,-204.69605089475814,413.3921017895163,419.4133723777088,207.94415416798358,3.248103273225439,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,198,42,5,0.00035648680499525545,100.0
